演出id,IF,count,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string),赋值,GOTO 
2102,0,0,1001,山洞背景,0,0,0,0,0,0,地上出现了几张散落的纸，通过落款得知似乎是小E写的。,1002,0,0,0,0
2102,0,0,1002,0,E,2,0,0,0,E,XX年7月2日，我们为了给C过生日陪她出来旅游，但是遇到山体滑坡堵住山洞，真倒霉。,1003,0,0,0,0
2102,0,0,1003,0,0,0,0,0,0,E,为什么哪些男生一点怨言没有，就因为C长得好看？真是受够他们了。,1004,0,0,0,0
2102,0,0,1004,0,0,0,0,0,0,E,不过在路上倒是有不少发现，在洞口附近看到了不少涂鸦，看样子这里平时也有不少人来。,1005,0,0,0,0
2102,0,0,1005,0,0,0,0,0,0,E,但是完全看不懂涂鸦画的是什么，看的人心里毛毛的，那些喜欢乱涂乱画的人就不能画点艺术吗？,1006,0,0,0,0
2102,0,0,1006,0,0,0,0,0,0,0,（7月2日内容补充 ）,1007,0,0,0,0
2102,0,0,1007,0,0,0,0,0,0,E,我们在更深处又发现了一些壁画，真奇怪，在溶洞里竟然还能保存壁画。,1008,0,0,0,0
2102,0,0,1008,0,0,0,0,0,0,E,壁画的内容似乎是和祭祀有关，B说自己学过文物方面的知识，说这玩意具有很高的研究价值。,1009,0,0,0,0
2102,0,0,1009,0,0,0,0,0,0,E,呵呵，伪善的家伙又在装了，无非就是想在C面前出出风头。,1010,0,0,0,0
2102,0,0,1010,0,0,0,0,0,0,E,这家伙靠着莫名其妙的自信吸引了不少女生了，这个时候了还这样。,1011,0,0,0,0
2102,0,0,1011,0,0,0,E,0,0,0,看起来这位E小姐的脾气并不好，不知道他们现在怎么样了。,-1,0,0,0,0
